timestamp,annotator,image_name,image_path,mode,input_mode,mask_path_input,time_seconds,brush_strokes,eraser_strokes,total_strokes,undo_count,redo_count,brush_pixels,eraser_pixels,vertex_adds,vertex_deletes,vertex_drags,polygon_closes,final_vertex_count,mask_pixel_count,saved,finished
2026-06-27T16:11:50.199315,alice,14.jpg,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\images\14.jpg,manual,polygon,,7.4,0,0,0,0,0,0,0,15,0,47,1,15,3787,True,True
2026-06-27T16:15:26.189736,alice,TN3K_test_0008.jpg,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\images\TN3K_test_0008.jpg,manual,polygon,,13.5,0,0,0,0,0,0,0,30,0,50,1,30,11224,True,True
2026-06-27T16:15:47.932287,alice,1001_2.png,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\images\1001_2.png,manual,polygon,,19.0,0,0,0,0,0,0,0,32,0,67,1,32,14372,True,True
2026-06-27T16:15:58.287148,alice,1000_2.png,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\images\1000_2.png,manual,polygon,,8.5,0,0,0,0,0,0,0,18,0,19,1,18,3727,True,True
2026-06-27T16:16:11.210824,alice,TN5K_test_000093.jpg,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\images\TN5K_test_000093.jpg,manual,polygon,,10.7,0,0,0,0,0,0,0,23,0,43,1,23,5352,True,True
2026-06-27T16:16:29.654925,alice,TN3K_test_0006.jpg,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\images\TN3K_test_0006.jpg,manual,polygon,,16.3,0,0,0,0,0,0,0,37,0,49,1,37,19404,True,True
2026-06-27T16:16:41.902306,alice,ThyroidXL_test_00000692_EEF49AA3_1.png,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\images\ThyroidXL_test_00000692_EEF49AA3_1.png,manual,polygon,,10.4,0,0,0,0,0,0,0,23,0,40,1,23,7035,True,True
2026-06-27T16:17:03.901429,alice,TN3K_test_0001.jpg,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\images\TN3K_test_0001.jpg,manual,polygon,,20.1,0,0,0,0,0,0,0,52,0,66,1,52,53727,True,True
2026-06-27T16:17:19.453043,alice,TN5K_test_000060.jpg,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\images\TN5K_test_000060.jpg,manual,polygon,,13.7,0,0,0,0,0,0,0,37,0,74,1,37,33208,True,True
2026-06-27T16:17:37.330806,alice,13.jpg,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\images\13.jpg,assisted,polygon,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\masks\13.jpg,15.0,0,0,0,0,0,0,0,20,0,58,0,25,14318,True,True
2026-06-27T16:17:45.962617,alice,1_2.png,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\images\1_2.png,assisted,polygon,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\masks\1_2.png,5.0,0,0,0,0,0,0,0,4,0,1,0,25,41552,True,True
2026-06-27T16:17:53.786121,alice,PKTN_train_Img_135.jpg,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\images\PKTN_train_Img_135.jpg,assisted,polygon,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\masks\PKTN_train_Img_135.jpg,4.6,0,0,0,0,0,0,0,3,0,1,0,26,18006,True,True
2026-06-27T16:18:09.927963,alice,PKTN_train_Img_113.jpg,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\images\PKTN_train_Img_113.jpg,assisted,polygon,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\masks\PKTN_train_Img_113.jpg,14.0,0,0,0,0,0,0,0,19,0,47,0,25,15912,True,True
2026-06-27T16:18:19.830453,alice,PKTN_train_Img_101.jpg,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\images\PKTN_train_Img_101.jpg,assisted,polygon,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\masks\PKTN_train_Img_101.jpg,7.3,0,0,0,0,0,0,0,12,0,11,0,18,9180,True,True
2026-06-27T16:18:25.491146,alice,6.jpg,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\images\6.jpg,assisted,polygon,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\masks\6.jpg,3.4,0,0,0,0,0,0,0,1,0,0,0,25,12994,True,True
2026-06-27T16:18:34.975573,alice,ThyroidXL_test_00000694_4B570B44_0.png,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\images\ThyroidXL_test_00000694_4B570B44_0.png,assisted,polygon,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\masks\ThyroidXL_test_00000694_4B570B44_0.png,7.4,0,0,0,0,0,0,0,2,0,30,0,31,33166,True,True
2026-06-27T16:18:49.052418,alice,3.jpg,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\images\3.jpg,assisted,polygon,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\masks\3.jpg,11.6,0,0,0,0,0,0,0,16,0,41,0,21,7703,True,True
2026-06-27T16:18:58.397527,alice,ThyroidXL_test_00000692_5EB6B130_0.png,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\images\ThyroidXL_test_00000692_5EB6B130_0.png,assisted,polygon,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\masks\ThyroidXL_test_00000692_5EB6B130_0.png,7.5,0,0,0,0,0,0,0,16,0,43,0,21,8851,True,True
