dataset_name,pos_x,pos_y,rel_size
Augtrain,0.5266164691348593,0.36169820694034244,0.21107259542593035
Augtrain,0.46127285590117767,0.36342798396057446,0.21106690345275092
Augtrain,0.6038590811711497,0.4433291821895249,0.009542305508233958
Augtrain,0.592323492063492,0.4595862740326113,0.009540034071550256
Augtrain,0.5517192197441096,0.4659131367563898,0.03387329780935465
Augtrain,0.5639447202218649,0.48721411213213545,0.03387329780935465
Augtrain,0.44217750805915546,0.3244988661913831,0.019866983021372443
Augtrain,0.410693297392638,0.33661046553047674,0.019855420349377696
Augtrain,0.41949194484130065,0.4309039127676547,0.04412823180155197
Augtrain,0.5628273326289401,0.4230078548405401,0.04412823180155197
Augtrain,0.4309228220612431,0.25525637241736665,0.016351824727450545
Augtrain,0.3477564244325399,0.32923909866690854,0.016340399472610238
Augtrain,0.445342570957964,0.30930419658997627,0.029963107775745727
Augtrain,0.46809576078596815,0.2849211853708314,0.029970990729646214
Augtrain,0.5057621619024194,0.4813664723822742,0.507100967788531
Augtrain,0.4811431251360572,0.48687217016193,0.5083258702874477
Augtrain,0.5045516821960031,0.2943895601462797,0.007205857187125658
Augtrain,0.5192884958185596,0.29116563618038976,0.007198919583928811
Augtrain,0.4437330776333546,0.31006599048711864,0.02131970471323112
Augtrain,0.49143037794828076,0.297786402169193,0.021315161839863712
Augtrain,0.5044227320413197,0.34795471731439015,0.0344210461779209
Augtrain,0.5086025656009686,0.35405911430816733,0.03442688520186966
Augtrain,0.5764502516547717,0.42169396837727174,0.17164166666666666
Augtrain,0.4443056454658251,0.39748697200194205,0.1716388888888889
Augtrain,0.424348579880141,0.24166312403838444,0.05274936357324694
Augtrain,0.4145181914517838,0.25460768300060493,0.05276556352696135
Augtrain,0.47143962814652773,0.5050141269459066,0.02065462439811851
Augtrain,0.46712680802841205,0.4878756417293241,0.02069915667009936
Augtrain,0.5406388483610544,0.3319605558045719,0.03978412786272746
Augtrain,0.46321810777388395,0.3209438350579201,0.0397910468414862
Augtrain,0.5554594937081685,0.3300820845196025,0.1066777438476738
Augtrain,0.4029910983353244,0.3562821175458906,0.1066777438476738
Augtrain,0.5291834316587682,0.34163076792598285,0.03202561502261825
Augtrain,0.5336681155743965,0.3381354683782604,0.03201649935620606
Augtrain,0.4659510387684212,0.4336893740475808,0.15243782460475439
Augtrain,0.48018054140213395,0.41743225132036427,0.15243782460475439
Augtrain,0.6815293135964565,0.4334235398960865,0.04282962825451339
Augtrain,0.33008686079921973,0.42496557702619137,0.04282962825451339
Augtrain,0.5794005207515028,0.2987128131293502,0.025920776918117342
Augtrain,0.6442165239956165,0.4023476381894749,0.02591573984526112
Augtrain,0.5606620494428105,0.3218536690097196,0.1246083993903484
Augtrain,0.5636555968946549,0.3331116375171592,0.12460154423744421
Augtrain,0.3457770981413832,0.36878547622299374,0.008129151755599511
Augtrain,0.6641620560751195,0.4344817897489033,0.008124578393149104
Augtrain,0.5415974358602275,0.3925786620838612,0.24660750071571716
Augtrain,0.49505777554811103,0.37652475836279015,0.24660750071571716
Augtrain,0.44631667121572904,0.4079262287008766,0.015489978904381876
Augtrain,0.4262852521100627,0.45554571969485147,0.015492686942651874
Augtrain,0.6103791897875582,0.2989092002890739,0.14115941224625717
Augtrain,0.6742080116734951,0.37300221517634835,0.14112703676467186
Augtrain,0.5487709092562238,0.3788462447758371,0.12168149796069708
Augtrain,0.437251173867548,0.3870509722286067,0.12168613274008157
Augtrain,0.5830330915397438,0.30286031948818304,0.012901082145941278
Augtrain,0.5782889093137255,0.2988921625069141,0.01290276878238342
Augtrain,0.4988528502928866,0.3709488135047468,0.2631644611532991
Augtrain,0.5492743478851574,0.3637575754456689,0.2631727786141447
Augtrain,0.5350765733718602,0.4418322797942384,0.34086002285521483
Augtrain,0.5482657100324895,0.45144249080442134,0.34085198938778954
Augtrain,0.20999465980727197,0.26061371546326245,0.01195651077649242
Augtrain,0.8175739198793538,0.320885516346014,0.01195146796300592
Augtrain,0.35536282795349106,0.37002903985198193,0.1675575637159484
Augtrain,0.3432628537970235,0.37633620819371527,0.1675676493429214
Augtrain,0.7011046936824478,0.4860125036982357,0.2228157233249545
Augtrain,0.32624534379661474,0.3895814709549043,0.2227868307763428
Augtrain,0.3136685689882755,0.15443377126383662,0.009807284835031783
Augtrain,0.33748239932413404,0.12840417128812878,0.009802239935425285
Augtrain,0.5447837513690283,0.520200472025545,0.20008333333333334
Augtrain,0.46080876795162506,0.49210309593225043,0.20008333333333334
Augtrain,0.43659468610717617,0.32542319186457863,0.008095416438592953
Augtrain,0.4629900148567875,0.31728143446994095,0.008095416438592953
Augtrain,0.3559504625947312,0.41024595873697683,0.025877162266265144
Augtrain,0.36585054075550827,0.3658882778198491,0.025877162266265144
Augtrain,0.35922292426761143,0.31583747098541864,0.026188187894682545
Augtrain,0.6757332984056991,0.37534327923664634,0.02618275804025694
Augtrain,0.6205737594876739,0.17229356411107818,0.10369033090942098
Augtrain,0.7103242366745447,0.29056885916951014,0.1050871902451816
Augtrain,0.6857653996603669,0.4562495588339098,0.02276746792875825
Augtrain,0.30713889578458664,0.49628966065045677,0.022761240503175986
Augtrain,0.7084914824316949,0.4016126323386091,0.034326431402608146
Augtrain,0.7017633736280557,0.452501342628715,0.03432138858912164
Augtrain,0.6254156822525154,0.22776083401698527,0.03259039279919174
Augtrain,0.6573171532765377,0.2763606697552804,0.03258529018563308
Augtrain,0.40773031750322913,0.49655086960439765,0.012528577960676726
Augtrain,0.4094512698198401,0.43821610188560367,0.012543819539704314
Augtrain,0.5216739557152492,0.5222700674518959,0.07827441321356128
Augtrain,0.5051078159167415,0.5306474151038449,0.07827441321356128
Augtrain,0.6117189796123677,0.382048033021457,0.35010865325681173
Augtrain,0.619367266481908,0.3798191809687095,0.3500975093330362
Augtrain,0.32432379238847375,0.34912939802689014,0.02078313253012048
Augtrain,0.329372430622382,0.21647027371344316,0.020785485692771083
Augtrain,0.5226065472513898,0.46558596261234575,0.013216326530612246
Augtrain,0.5351698579369981,0.481574668162509,0.013216326530612246
Augtrain,0.6078099050593474,0.18936594217909733,0.02072287873948685
Augtrain,0.6887994573129369,0.28568018961373653,0.02074417119131268
Augtrain,0.6622701774101435,0.29294031171011786,0.022272819782232625
Augtrain,0.6959589761570828,0.3380077456705816,0.02223465961127506
Augtrain,0.3132999926077982,0.18736629239797686,0.008017191503430035
Augtrain,0.2946380628499834,0.21722889424450878,0.008023095179058483
Augtrain,0.3153742272651293,0.3529245383861294,0.051699394275307814
Augtrain,0.3579977706910858,0.28818431954907925,0.051719189199889146
Augtrain,0.5469343207951667,0.23959801412362494,0.007692509510691329
Augtrain,0.42983953389968427,0.24518471234434697,0.007676767676767677
Augtrain,0.5852439846196535,0.26818720064368723,0.013805161544523247
Augtrain,0.6143091041130258,0.31471631205673756,0.01381501182033097
Augtrain,0.6549709484573015,0.27784099654770544,0.019190016482222745
Augtrain,0.427266986636376,0.1819879400359432,0.01916548936504199
Augtrain,0.61823823246878,0.494363601185324,0.029427561837455832
Augtrain,0.6106525810324129,0.4214762936976911,0.02943462897526502
Augtrain,0.5960198156240907,0.22046734204770227,0.05208973885950888
Augtrain,0.5011083647094855,0.2026525549097096,0.05203337022916411
Augtrain,0.5542466606427945,0.41855500675147467,0.39158627087198516
Augtrain,0.4685284983713213,0.39876321616027605,0.3915491651205937
Augtrain,0.3838385398566114,0.4264982787939115,0.2262867684323623
Augtrain,0.4052955456638189,0.37712940093572545,0.226296904457824
Augtrain,0.3716234231531937,0.3406308357898952,0.009776479655997728
Augtrain,0.40772786436605146,0.2811307908260817,0.009762957554122213
Augtrain,0.37662325221383053,0.3194449190429815,0.01154907344320244
Augtrain,0.5235549866678912,0.2495509595584563,0.01156481400280182
Augtrain,0.5998892991003445,0.37718108396574473,0.02042205582028591
Augtrain,0.4315571742121268,0.3462804216667549,0.020427874069807356
Augtrain,0.26260294671555096,0.3073605942835105,0.025145504591011284
Augtrain,0.3176000868966553,0.22138680033416877,0.02515075746433299
Augtrain,0.6840335404732704,0.4270271153284612,0.019651844156892015
Augtrain,0.31189477593246545,0.5240273697079645,0.019672015410838014
Augtrain,0.6930438581341244,0.4686173699083476,0.006899409136763223
Augtrain,0.29761443966834394,0.3962386615818844,0.006881395013690734
Augtrain,0.6101519833149573,0.4460437403490764,0.014924344259469893
Augtrain,0.6020877477158643,0.41757829909647093,0.014924344259469893
Augtrain,0.6445559126263333,0.23891111388923617,0.013577141382868937
Augtrain,0.46802069665075335,0.1439858991332151,0.013590041279669762
Augtrain,0.31728202495984265,0.31507973203639134,0.011543000070599389
